classe,giorno,numero_ora,materia,docente,aula
5A CD,LUNEDI,1,Lingua e letteratura italiana,-,G15
5A CD,LUNEDI,2,Lingua e letteratura italiana,-,G15
5A CD,LUNEDI,3,Elettrotecnica elettronica e automazione,-,G15
5A CD,LUNEDI,4,Meccanica e macchine,-,G15
5A CD,LUNEDI,5,Scienze navigazione struttura e conduzione mezzo aereo,-,G15
5A CD,LUNEDI,6,Scienze navigazione struttura e conduzione mezzo aereo,-,G15
5A CD,MARTEDI,1,Lingua inglese,-,I15A
5A CD,MARTEDI,2,Scienze navigazione struttura e conduzione mezzo aereo,-,R36
5A CD,MARTEDI,3,Scienze navigazione struttura e conduzione mezzo aereo,-,R36
5A CD,MARTEDI,4,Scienze navigazione struttura e conduzione mezzo aereo,-,R36
5A CD,MARTEDI,5,Meccanica e macchine,-,I15A
5A CD,MARTEDI,6,Lingua e letteratura italiana,-,I15A
5A CD,MERCOLEDI,1,Matematica,-,C24
5A CD,MERCOLEDI,2,Diritto ed economia,-,C24
5A CD,MERCOLEDI,3,Scienze navigazione struttura e conduzione mezzo aereo,-,R36
5A CD,MERCOLEDI,4,Lingua e letteratura italiana,-,B08
5A CD,MERCOLEDI,5,Storia,-,B08
5A CD,MERCOLEDI,6,Religione / Alternativa,-,B08
5A CD,MERCOLEDI,7,Elettrotecnica elettronica e automazione,-,R25
5A CD,MERCOLEDI,8,Elettrotecnica elettronica e automazione,-,R25
5A CD,GIOVEDI,1,Scienze navigazione struttura e conduzione mezzo aereo,-,R36
5A CD,GIOVEDI,2,Scienze navigazione struttura e conduzione mezzo aereo,-,R36
5A CD,GIOVEDI,3,Scienze motorie e sportive,-,Palestre
5A CD,GIOVEDI,4,Scienze motorie e sportive,-,Palestre
5A CD,GIOVEDI,5,Lingua inglese,-,C18
5A CD,GIOVEDI,6,Diritto ed economia,-,C18
5A CD,VENERDI,1,Meccanica e macchine,-,R27/28
5A CD,VENERDI,2,Meccanica e macchine,-,R27/28
5A CD,VENERDI,3,Lingua inglese,-,A05
5A CD,VENERDI,4,Storia,-,A05
5A CD,VENERDI,5,Matematica,-,A05
5A CD,VENERDI,6,Matematica,-,A05
5B CT,LUNEDI,1,Matematica,-,G01
5B CT,LUNEDI,2,Matematica,-,G01
5B CT,LUNEDI,3,Lingua inglese,-,G01
5B CT,LUNEDI,4,Elettrotecnica elettronica e automazione,-,G01
5B CT,LUNEDI,5,Struttura costruzione sistemi impianti mezzo aereo,-,G01
5B CT,LUNEDI,6,Struttura costruzione sistemi impianti mezzo aereo,-,G01
5B CT,MARTEDI,1,Elettrotecnica elettronica e automazione,-,R25
5B CT,MARTEDI,2,Elettrotecnica elettronica e automazione,-,R25
5B CT,MARTEDI,3,Storia,-,R35
5B CT,MARTEDI,4,Meccanica macchine e sistemi propulsivi,-,R12/13
5B CT,MARTEDI,5,Struttura costruzione sistemi impianti mezzo aereo,-,R38
5B CT,MARTEDI,6,Struttura costruzione sistemi impianti mezzo aereo,-,R38
5B CT,MERCOLEDI,1,Matematica,-,I06
5B CT,MERCOLEDI,2,Lingua inglese,-,I06
5B CT,MERCOLEDI,3,Storia,-,C03
5B CT,MERCOLEDI,4,Meccanica macchine e sistemi propulsivi,-,R12/13
5B CT,MERCOLEDI,5,Lingua e letteratura italiana,-,B01
5B CT,MERCOLEDI,6,Lingua e letteratura italiana,-,B01
5B CT,GIOVEDI,1,Scienze motorie e sportive,-,Palestre
5B CT,GIOVEDI,2,Scienze motorie e sportive,-,Palestre
5B CT,GIOVEDI,3,Diritto ed economia,-,B01
5B CT,GIOVEDI,4,Lingua inglese,-,B01
5B CT,GIOVEDI,5,Meccanica macchine e sistemi propulsivi,-,B01
5B CT,GIOVEDI,6,Meccanica macchine e sistemi propulsivi,-,B01
5B CT,GIOVEDI,7,Struttura costruzione sistemi impianti mezzo aereo,-,R38
5B CT,GIOVEDI,8,Struttura costruzione sistemi impianti mezzo aereo,-,R38
